mass_gluino: 2000.000000 	 mass_LSP: 1990.000000 
mass_gluino: 1600.000000 	 mass_LSP: 200.000000 
mass_gluino: 1950.000000 	 mass_LSP: 800.000000 
mass_gluino: 1550.000000 	 mass_LSP: 1200.000000 
mass_gluino: 1150.000000 	 mass_LSP: 450.000000 
mass_gluino: 1600.000000 	 mass_LSP: 550.000000 
mass_gluino: 1300.000000 	 mass_LSP: 700.000000 
mass_gluino: 1250.000000 	 mass_LSP: 300.000000 
mass_gluino: 1600.000000 	 mass_LSP: 100.000000 
mass_gluino: 1050.000000 	 mass_LSP: 400.000000 
mass_gluino: 1550.000000 	 mass_LSP: 1000.000000 
mass_gluino: 2100.000000 	 mass_LSP: 400.000000 
mass_gluino: 1150.000000 	 mass_LSP: 1100.000000 
mass_gluino: 1750.000000 	 mass_LSP: 25.000000 
mass_gluino: 1850.000000 	 mass_LSP: 1000.000000 
mass_gluino: 2100.000000 	 mass_LSP: 1300.000000 
mass_gluino: 1700.000000 	 mass_LSP: 300.000000 
mass_gluino: 1900.000000 	 mass_LSP: 1700.000000 
mass_gluino: 1450.000000 	 mass_LSP: 500.000000 
mass_gluino: 1450.000000 	 mass_LSP: 800.000000 
mass_gluino: 2000.000000 	 mass_LSP: 1100.000000 
mass_gluino: 1300.000000 	 mass_LSP: 750.000000 
mass_gluino: 1850.000000 	 mass_LSP: 850.000000 
mass_gluino: 1850.000000 	 mass_LSP: 1300.000000 
mass_gluino: 1850.000000 	 mass_LSP: 250.000000 
mass_gluino: 1900.000000 	 mass_LSP: 1050.000000 
mass_gluino: 1000.000000 	 mass_LSP: 800.000000 
mass_gluino: 1850.000000 	 mass_LSP: 700.000000 
mass_gluino: 1650.000000 	 mass_LSP: 250.000000 
mass_gluino: 2100.000000 	 mass_LSP: 1350.000000 
mass_gluino: 1250.000000 	 mass_LSP: 25.000000 
mass_gluino: 1850.000000 	 mass_LSP: 1840.000000 
mass_gluino: 1700.000000 	 mass_LSP: 1200.000000 
mass_gluino: 1950.000000 	 mass_LSP: 1400.000000 
mass_gluino: 1150.000000 	 mass_LSP: 550.000000 
mass_gluino: 2100.000000 	 mass_LSP: 250.000000 
mass_gluino: 1650.000000 	 mass_LSP: 450.000000 
mass_gluino: 1950.000000 	 mass_LSP: 500.000000 
mass_gluino: 2000.000000 	 mass_LSP: 200.000000 
mass_gluino: 2100.000000 	 mass_LSP: 1150.000000 
mass_gluino: 1000.000000 	 mass_LSP: 450.000000 
mass_gluino: 1550.000000 	 mass_LSP: 550.000000 
mass_gluino: 1650.000000 	 mass_LSP: 1350.000000 
mass_gluino: 900.000000 	 mass_LSP: 600.000000 
mass_gluino: 1000.000000 	 mass_LSP: 550.000000 
mass_gluino: 1300.000000 	 mass_LSP: 850.000000 
mass_gluino: 1050.000000 	 mass_LSP: 550.000000 
mass_gluino: 1350.000000 	 mass_LSP: 600.000000 
mass_gluino: 2000.000000 	 mass_LSP: 1350.000000 
mass_gluino: 1950.000000 	 mass_LSP: 1050.000000 
mass_gluino: 1250.000000 	 mass_LSP: 1200.000000 
mass_gluino: 2000.000000 	 mass_LSP: 1950.000000 
mass_gluino: 1150.000000 	 mass_LSP: 350.000000 
mass_gluino: 2100.000000 	 mass_LSP: 1600.000000 
mass_gluino: 1650.000000 	 mass_LSP: 400.000000 
mass_gluino: 1400.000000 	 mass_LSP: 1250.000000 
mass_gluino: 1800.000000 	 mass_LSP: 900.000000 
mass_gluino: 1900.000000 	 mass_LSP: 950.000000 
mass_gluino: 1800.000000 	 mass_LSP: 1700.000000 
mass_gluino: 1100.000000 	 mass_LSP: 450.000000 
mass_gluino: 1400.000000 	 mass_LSP: 50.000000 
mass_gluino: 1250.000000 	 mass_LSP: 800.000000 
mass_gluino: 1350.000000 	 mass_LSP: 1340.000000 
mass_gluino: 1800.000000 	 mass_LSP: 800.000000 
mass_gluino: 1200.000000 	 mass_LSP: 850.000000 
mass_gluino: 1800.000000 	 mass_LSP: 1790.000000 
mass_gluino: 1150.000000 	 mass_LSP: 650.000000 
