mass_gluino: 350.000000 	 mass_LSP: 1.000000 
mass_gluino: 600.000000 	 mass_LSP: 200.000000 
mass_gluino: 550.000000 	 mass_LSP: 1.000000 
mass_gluino: 225.000000 	 mass_LSP: 125.000000 
mass_gluino: 700.000000 	 mass_LSP: 25.000000 
mass_gluino: 575.000000 	 mass_LSP: 225.000000 
mass_gluino: 675.000000 	 mass_LSP: 25.000000 
mass_gluino: 575.000000 	 mass_LSP: 275.000000 
mass_gluino: 250.000000 	 mass_LSP: 75.000000 
mass_gluino: 350.000000 	 mass_LSP: 240.000000 
mass_gluino: 125.000000 	 mass_LSP: 35.000000 
mass_gluino: 150.000000 	 mass_LSP: 10.000000 
mass_gluino: 425.000000 	 mass_LSP: 225.000000 
mass_gluino: 700.000000 	 mass_LSP: 75.000000 
mass_gluino: 400.000000 	 mass_LSP: 260.000000 
mass_gluino: 275.000000 	 mass_LSP: 145.000000 
mass_gluino: 500.000000 	 mass_LSP: 225.000000 
mass_gluino: 150.000000 	 mass_LSP: 70.000000 
mass_gluino: 500.000000 	 mass_LSP: 300.000000 
mass_gluino: 300.000000 	 mass_LSP: 270.000000 
mass_gluino: 125.000000 	 mass_LSP: 75.000000 
mass_gluino: 600.000000 	 mass_LSP: 1.000000 
mass_gluino: 325.000000 	 mass_LSP: 225.000000 
mass_gluino: 675.000000 	 mass_LSP: 100.000000 
mass_gluino: 600.000000 	 mass_LSP: 275.000000 
mass_gluino: 700.000000 	 mass_LSP: 100.000000 
mass_gluino: 450.000000 	 mass_LSP: 200.000000 
mass_gluino: 500.000000 	 mass_LSP: 75.000000 
mass_gluino: 475.000000 	 mass_LSP: 75.000000 
mass_gluino: 475.000000 	 mass_LSP: 150.000000 
mass_gluino: 375.000000 	 mass_LSP: 25.000000 
mass_gluino: 200.000000 	 mass_LSP: 185.000000 
mass_gluino: 500.000000 	 mass_LSP: 150.000000 
mass_gluino: 425.000000 	 mass_LSP: 150.000000 
mass_gluino: 400.000000 	 mass_LSP: 25.000000 
mass_gluino: 550.000000 	 mass_LSP: 100.000000 
mass_gluino: 175.000000 	 mass_LSP: 85.000000 
mass_gluino: 300.000000 	 mass_LSP: 290.000000 
mass_gluino: 575.000000 	 mass_LSP: 100.000000 
mass_gluino: 375.000000 	 mass_LSP: 75.000000 
mass_gluino: 275.000000 	 mass_LSP: 185.000000 
mass_gluino: 675.000000 	 mass_LSP: 250.000000 
mass_gluino: 650.000000 	 mass_LSP: 200.000000 
mass_gluino: 400.000000 	 mass_LSP: 100.000000 
mass_gluino: 200.000000 	 mass_LSP: 160.000000 
mass_gluino: 150.000000 	 mass_LSP: 80.000000 
mass_gluino: 700.000000 	 mass_LSP: 200.000000 
mass_gluino: 325.000000 	 mass_LSP: 175.000000 
mass_gluino: 475.000000 	 mass_LSP: 50.000000 
mass_gluino: 225.000000 	 mass_LSP: 135.000000 
mass_gluino: 575.000000 	 mass_LSP: 250.000000 
mass_gluino: 250.000000 	 mass_LSP: 100.000000 
mass_gluino: 425.000000 	 mass_LSP: 50.000000 
mass_gluino: 575.000000 	 mass_LSP: 75.000000 
mass_gluino: 325.000000 	 mass_LSP: 100.000000 
mass_gluino: 200.000000 	 mass_LSP: 193.000000 
mass_gluino: 500.000000 	 mass_LSP: 275.000000 
mass_gluino: 100.000000 	 mass_LSP: 20.000000 
mass_gluino: 700.000000 	 mass_LSP: 275.000000 
mass_gluino: 225.000000 	 mass_LSP: 155.000000 
mass_gluino: 650.000000 	 mass_LSP: 275.000000 
mass_gluino: 450.000000 	 mass_LSP: 1.000000 
mass_gluino: 550.000000 	 mass_LSP: 25.000000 
mass_gluino: 650.000000 	 mass_LSP: 1.000000 
mass_gluino: 150.000000 	 mass_LSP: 60.000000 
mass_gluino: 275.000000 	 mass_LSP: 225.000000 
mass_gluino: 625.000000 	 mass_LSP: 50.000000 
mass_gluino: 225.000000 	 mass_LSP: 75.000000 
mass_gluino: 650.000000 	 mass_LSP: 250.000000 
mass_gluino: 550.000000 	 mass_LSP: 175.000000 
mass_gluino: 200.000000 	 mass_LSP: 180.000000 
mass_gluino: 550.000000 	 mass_LSP: 300.000000 
mass_gluino: 250.000000 	 mass_LSP: 140.000000 
mass_gluino: 450.000000 	 mass_LSP: 50.000000 
mass_gluino: 475.000000 	 mass_LSP: 175.000000 
mass_gluino: 375.000000 	 mass_LSP: 245.000000 
mass_gluino: 200.000000 	 mass_LSP: 70.000000 
mass_gluino: 100.000000 	 mass_LSP: 60.000000 
mass_gluino: 200.000000 	 mass_LSP: 50.000000 
